call	phase	width	base	selected	effective	entry_active	local_peak	ops_added
0	tlm_apply_inverse_mod_sub_register	256	138	136	128	1026	1026	5152
1	tlm_apply_inverse_mod_sub_register	256	136	134	126	1028	1028	5180
2	tlm_apply_inverse_mod_sub_register	256	133	131	123	1031	1031	5222
3	tlm_apply_inverse_mod_sub_register	256	130	128	120	1034	1034	5264
4	tlm_apply_inverse_mod_sub_register	256	129	127	119	1035	1035	5278
5	tlm_apply_inverse_mod_sub_register	256	126	124	116	1038	1038	5320
6	tlm_apply_inverse_mod_sub_register	256	123	121	113	1041	1041	5362
7	tlm_apply_inverse_mod_sub_register	256	122	120	112	1042	1042	5376
8	tlm_apply_inverse_mod_sub_register	256	119	117	109	1045	1045	5418
9	tlm_apply_inverse_mod_sub_register	256	116	114	106	1048	1048	5460
10	tlm_apply_inverse_mod_sub_register	256	115	113	105	1049	1049	5474
11	tlm_apply_inverse_mod_sub_register	256	114	112	104	1050	1050	5488
12	tlm_apply_inverse_mod_sub_register	256	113	111	103	1051	1051	3949
13	tlm_apply_inverse_mod_sub_register	256	114	112	104	1050	1050	3949
14	tlm_apply_inverse_mod_sub_register	256	113	111	103	1051	1051	3949
15	tlm_apply_inverse_mod_sub_register	256	112	110	102	1052	1052	3949
16	tlm_apply_inverse_mod_sub_register	256	113	111	103	1051	1051	3949
17	tlm_apply_inverse_mod_sub_register	256	112	110	102	1052	1052	3949
18	tlm_apply_inverse_mod_sub_register	256	111	109	101	1053	1053	3949
19	tlm_apply_inverse_mod_sub_register	256	112	110	102	1052	1052	3949
20	tlm_apply_inverse_mod_sub_register	256	111	109	101	1053	1053	3949
21	tlm_apply_inverse_mod_sub_register	256	110	108	100	1054	1054	3949
22	tlm_apply_inverse_mod_sub_register	256	111	109	101	1053	1053	3949
23	tlm_apply_inverse_mod_sub_register	256	110	108	100	1054	1054	3949
24	tlm_apply_inverse_mod_sub_register	256	109	107	99	1055	1055	3949
25	tlm_apply_inverse_mod_sub_register	256	110	108	100	1054	1054	3949
26	tlm_apply_inverse_mod_sub_register	256	109	107	99	1055	1055	3949
27	tlm_apply_inverse_mod_sub_register	256	108	106	98	1056	1056	3949
28	tlm_apply_inverse_mod_sub_register	256	109	107	99	1055	1055	3949
29	tlm_apply_inverse_mod_sub_register	256	108	106	98	1056	1056	3949
30	tlm_apply_inverse_mod_sub_register	256	107	105	97	1057	1057	3949
31	tlm_apply_inverse_mod_sub_register	256	108	106	98	1056	1056	3949
32	tlm_apply_inverse_mod_sub_register	256	107	105	97	1057	1057	3949
33	tlm_apply_inverse_mod_sub_register	256	106	104	96	1058	1058	3949
34	tlm_apply_inverse_mod_sub_register	256	107	105	97	1057	1057	3949
35	tlm_apply_inverse_mod_sub_register	256	106	104	96	1058	1058	3949
36	tlm_apply_inverse_mod_sub_register	256	105	103	95	1059	1059	3949
37	tlm_apply_inverse_mod_sub_register	256	106	104	96	1058	1058	3949
38	tlm_apply_inverse_mod_sub_register	256	105	103	95	1059	1059	3949
